a1SQ004,a1SQ005,a1SQ006,a1SQ008,a1SQ009,D01SQ001,D01SQ002,D01SQ003,D01SQ004,F01SQ006,F01SQ009,F01SQ010,F01SQ014,F01SQ016,J01SQ001,J01SQ002,J01SQ003,J01SQ004,J01SQ005,B02SQ001,B02SQ002,B02SQ003,B02SQ004,B02SQ005,B02SQ006,E01SQ001,E01SQ002,E01SQ003,E01SQ004,E01SQ005,E01SQ006,G01SQ001,G01SQ002,G01SQ003,G01SQ004,H01SQ001,H01SQ002,H01SQ003,H01SQ004,C01SQ001,C01SQ002,C01SQ003,C01SQ004
3,4,2,3,2,2,2,3,3,4,4,5,4,4,4,4,4,3,3,5,5,4,3,3,4,3,4,2,3,5,5,2,2,5,4,4,4,4,4,2,2,4,4
3,5,3,1,4,5,5,5,4,2,1,4,5,5,5,1,4,2,2,4,4,5,5,4,2,2,4,2,3,3,2,2,2,2,2,4,3,3,3,3,4,2,2
2,4,4,3,2,4,4,4,4,5,2,5,4,4,5,4,4,2,5,5,4,4,4,4,3,4,5,2,5,4,4,2,2,4,2,4,4,4,4,4,3,4,4
5,5,5,3,5,4,5,4,4,4,4,5,5,5,5,4,4,3,4,5,5,5,5,5,5,5,5,3,5,5,5,4,3,5,5,4,5,4,5,5,5,5,5
2,3,4,2,2,4,4,4,4,4,2,4,4,4,5,4,4,2,3,4,4,4,4,4,4,4,5,2,4,4,4,1,2,4,1,4,4,4,4,1,4,3,3
1,2,2,2,1,4,4,4,4,3,2,4,5,4,3,4,5,2,4,4,4,3,4,4,2,2,3,4,2,4,5,1,1,2,1,3,3,3,3,4,2,2,2
4,5,4,4,3,5,5,5,5,4,3,4,3,4,5,4,4,3,3,4,4,4,4,4,4,4,4,2,3,4,4,4,2,4,2,3,3,3,2,5,5,4,5
4,4,3,3,3,4,4,4,5,5,3,4,5,4,4,2,4,3,4,4,4,4,4,4,5,4,5,4,4,4,3,3,3,4,3,4,4,4,4,3,3,3,4
4,4,4,4,3,5,4,4,5,3,3,4,5,4,4,4,4,4,4,4,4,3,3,5,4,4,5,3,5,3,5,2,3,4,4,5,5,4,4,4,4,3,4
3,3,4,3,4,5,5,5,5,4,4,4,5,5,5,4,4,2,4,4,5,4,5,4,4,5,4,2,4,4,4,2,1,4,4,4,4,4,4,3,4,4,4
